"nuts1","nuts2","nuts3","BNP_vote_share","Conservative_vote_share","Green_vote_share","LD_vote_share","Labour_vote_share","UKIP_vote_share","agriculture","agriculture_int","cancer_62_days","cancer_62_days_int","change_rel_inc_med","eu_15_imm_01","eu_15_imm_growth","eu_access_imm_01","eu_access_imm_01_int","eu_access_imm_growth","eu_access_imm_growth_int","eu_eco_dependence","fiscal_cuts","fiscal_cuts_int","immigrant_arrivals","immigrant_arrivals_int","immigrant_share","immigrant_share_int","import_shock","instrument_for_shock","leave_share","median_wage","median_wage_growth","other_imm_01","other_imm_growth","pub_empl_growth","pub_empl_growth_int","share_above_60","share_above_60_growth","share_commuters_london","share_council_rent","share_council_rent_growth","share_high_skill","share_home_own","share_home_own_growth","temporary_immigrants","unemployment"
1,"UKC1","UKC11",1.68394422531128,21.2768402099609,3.97082281112671,3.68496298789978,30.3898544311523,34.983325958252,0.4125,0.132977351546288,-0.441711574792862,-0.14239427447319,-0.717954218387604,0.496968388557434,0.0973713472485542,0.0816421285271645,0.0263189189136028,0.405214577913284,0.130628749728203,8.8,69.5629653930664,22.4249668121338,0.464941009570359,0.149882718920708,3.52112676056338,1.1351033449173,0.322369337081909,2.45558571815491,64.1934272941337,8.755,-1.35741412639618,1.77478003501892,66.7651443481445,-0.704329371452332,-0.227054193615913,19.1120376586914,16.2795886993408,0.144463688135147,18.0572414398193,-47.6689186096191,20.2,68.2865371704102,-3.97585487365723,0.898294846857631,8.1
1,"UKC1","UKC12",1.61725556850433,17.2299213409424,4.26984834671021,5.59706258773804,31.1647529602051,36.313907623291,0.342857142857143,0.0777317956089973,-0.698721170425415,-0.158412486314774,9.93167495727539,0.575939774513245,0.0434327162802219,0.0923401489853859,0.0209351498633623,0.552215993404388,0.125197157263756,8.8,112.11954498291,25.419490814209,0.863210698421256,0.19570517539978,5.88235294117647,1.33363378047943,0.226717740297318,1.54528832435608,65.8638641923743,8.32,-2.23385643959045,2.16689109802246,71.1807327270508,0.402329295873642,0.0912151858210564,21.0944156646729,10.8694877624512,0.106916323304176,20.2530956268311,-49.0726661682129,20.2,65.0592803955078,-4.69303369522095,1.08472708946215,9.7
1,"UKC1","UKC13",1.32642042636871,26.200044631958,4.89090538024902,5.11125516891479,28.2652854919434,30.6632099151611,0.855555555555556,0.167672947049141,-2.55301976203918,-0.500344336032867,15.5951519012451,0.90557861328125,0.210552126169205,0.0879004076123238,0.0172268413007259,1.33485972881317,0.261607646942139,8.8,-9.4536247253418,-1.85273432731628,0.672694171012436,0.131835520267487,7.69230769230769,1.50754904747009,0.195981368422508,1.344646692276,56.1831562919189,8.09,8.68317699432373,1.96753811836243,45.0389633178711,2.86440968513489,0.56137090921402,20.6405601501465,15.3058853149414,0.150360673666,14.2948312759399,-21.4857196807861,20.2,71.3890686035156,-9.08921337127686,1.39784614435153,6.7
1,"UKC1","UKC14",2.1009202003479,15.5061883926392,5.54563188552856,5.234619140625,39.4178733825684,28.1497917175293,0.79,0.347011178731918,-0.168315306305885,-0.0739332810044289,5.0403003692627,0.609358191490173,0.15482197701931,0.0502563491463661,0.0220753364264965,0.523638725280762,0.230010762810707,8.8,8.91362857818604,3.91535305976868,0.343388774086815,0.150835126638412,4.1015625,1.80163049697876,0.43925467133522,3.07366490364075,57.5460549443152,8.82,-0.312142580747604,1.19581735134125,54.9737319946289,0.221967443823814,0.0975002348423004,21.1042747497559,17.932710647583,0.126716673374176,22.0945262908936,-42.2446250915527,20.2,66.6562194824219,-1.2278037071228,0.361397607572257,6.9
1,"UKC2","UKC21",1.22706425189972,25.3873596191406,5.59760427474976,9.66488265991211,27.6975040435791,27.3764019012451,2.32,0.736668646335602,0.317261934280396,0.100740052759647,0.24736063182354,0.588235318660736,0.0820339173078537,0.0582701228559017,0.018502488732338,0.356456905603409,0.113185614347458,8.9,-101.431228637695,-32.2074165344238,0.211047995044047,0.0670139864087105,2.57234726688103,0.816796362400055,0.317529588937759,2.20563459396362,54.1061207132906,8.89,-0.74575012922287,1.29789388179779,-100,-2.41670680046082,-0.767375946044922,22.5533809661865,23.2367630004883,0.163704872131348,16.9964828491211,-37.0591239929199,21.4,66.6791534423828,-1.26259219646454,0.492445321769443,5.1
1,"UKC2","UKC22",1.75173151493073,14.7285480499268,5.91256380081177,6.72405529022217,40.3457412719727,26.4846019744873,0.188888888888889,0.0541739985346794,0.594327032566071,0.170455083250999,19.8961982727051,0.723905861377716,0.20160199701786,0.0910541787743568,0.0261146575212479,0.77987152338028,0.22366988658905,8.9,-15.0487041473389,-4.31602144241333,1.01094384515744,0.289942234754562,7.75656324582339,2.22460961341858,0.286803513765335,2.17692279815674,54.6006850379975,8.44,2.04142689704895,2.8454430103302,67.6861877441406,-0.582775354385376,-0.167142018675804,21.2450218200684,5.30566358566284,0.155348539352417,27.3551979064941,-20.9266300201416,21.4,57.733757019043,-1.54602718353271,0.570238643961574,8
1,"UKC2","UKC23",1.66083407402039,15.9842519760132,3.84660243988037,2.84339451789856,42.1391067504883,30.0277061462402,0.5,0.160653948783875,0.77816241979599,0.250029742717743,18.5483303070068,0.617149829864502,-0.105766594409943,0.0576908700168133,0.0185365322977304,0.421998053789139,0.135591313242912,8.9,62.6653861999512,20.1348838806152,0.689538617542674,0.221554204821587,5.09090909090909,1.63574934005737,0.321307897567749,2.15847253799438,61.3397456895268,8.34,-2.34585404396057,1.51848065853119,88.3911819458008,-0.146531745791435,-0.0470818057656288,21.1080703735352,11.4351558685303,0.174704730510712,23.1771450042725,-39.7438125610352,21.4,59.7468147277832,0.0201419573277235,0.634893808799504,7.9
2,"UKD1","UKD11",2.39285898208618,23.3442668914795,5.38258838653564,3.88055396080017,31.1358451843262,29.9044647216797,1.71,0.727464437484741,-0.524538576602936,-0.223148047924042,29.4250602722168,0.43017166852951,0.0979598835110664,0.0549427159130573,0.0233736094087362,0.423357039690018,0.180103629827499,14.3,-38.5804023742676,-16.4127902984619,0.359558736088085,0.152962684631348,3.04347826086957,1.29474985599518,0.425417810678482,3.32983469963074,60.193826554082,8.93666666666667,3.15142273902893,1.14655649662018,38.7072792053223,1.89958000183105,0.808115184307098,22.8213729858398,18.7439708709717,0.0874882712960243,8.52974224090576,-32.4428405761719,22.3,70.7852325439453,0.183246731758118,1.70195798619127,6.5
2,"UKD1","UKD12",1.39135992527008,28.8358383178711,8.04864025115967,18.8096008300781,15.2768001556396,24.5055999755859,4.37,1.85907578468323,-0.524538576602936,-0.223148047924042,13.0503597259521,0.650668263435364,0.244841113686562,0.0878105536103249,0.0373561717569828,1.27048420906067,0.540486633777618,14.3,-186.933715820312,-79.5249328613281,0.969504559770304,0.41244450211525,4.63320463320463,1.97104775905609,0.425417810678482,3.32983469963074,53.3432866294056,8.83333333333333,-8.86911964416504,1.46904683113098,53.257942199707,1.84125518798828,0.78330272436142,24.1186580657959,20.9315872192383,0.112541273236275,9.5280818939209,-57.6226463317871,22.3,72.8035888671875,-3.07278752326965,1.55576074170577,3.3
2,"UKD3","UKD33",1.62850153446198,8.23348522186279,12.4148216247559,6.92431545257568,51.4215278625488,15.8992691040039,0.14,0.0363609082996845,0.293829321861267,0.0763135775923729,16.1647834777832,1.38231599330902,1.06843101978302,0.25355190038681,0.0658526942133904,3.13604998588562,0.814497351646423,9.5,49.5315628051758,12.8643760681152,3.60511697468219,0.936323761940002,26.4875239923225,6.87936019897461,0.259720772504807,1.89532089233398,39.6360014666971,8.46,-0.315918266773224,10.3342761993408,134.959976196289,-0.835301339626312,-0.216945111751556,13.4272260665894,-2.6289279460907,0.314745455980301,28.5988159179688,-52.9416427612305,26,41.091423034668,-8.1088809967041,0.231278709539579,8.2
2,"UKD3","UKD34",2.06421613693237,22.503625869751,7.72551679611206,4.69298934936523,33.6217269897461,25.1848373413086,0.14,0.0471892766654491,0.461048513650894,0.155403897166252,15.3645334243774,0.880238711833954,0.394840598106384,0.21583679318428,0.0727512985467911,1.85666573047638,0.625819385051727,9.5,-15.8480939865112,-5.34185791015625,1.80966984209839,0.609978675842285,13.8947368421053,4.68344688415527,0.337066262960434,2.60825204849243,49.0813436200165,9.61,-4.81395149230957,3.85714435577393,97.6096343994141,-0.545480072498322,-0.183862924575806,19.5445919036865,5.16194009780884,0.234968215227127,18.3289661407471,-37.0941390991211,26,63.4009056091309,-6.36605167388916,0.541563356387838,7.4
2,"UKD3","UKD35",1.91740524768829,19.6003913879395,7.09693813323975,10.0439777374268,29.0597400665283,28.4034309387207,0.14,0.0621942207217216,1.08709812164307,0.482937306165695,-1.15850567817688,0.659403383731842,0.11435554176569,0.126615092158318,0.0562480501830578,0.652972161769867,0.290079265832901,9.5,-15.096248626709,-6.70642471313477,0.545599211912249,0.242379412055016,8.49802371541502,3.77519989013672,0.44424444437027,3.20782279968262,53.1122010231894,9.405,-7.16284227371216,3.17301464080811,44.2424621582031,0.422177881002426,0.18755017220974,20.7340240478516,12.6179141998291,0.180657938122749,10.6402387619019,-32.7183799743652,26,73.2950897216797,-5.73992156982422,0.727465615882999,4.8
2,"UKD3","UKD36",2.39505791664124,16.3390235900879,4.95475816726685,2.59628772735596,37.5251541137695,31.8801651000977,0.328571428571429,0.13198433816433,0.522736012935638,0.209978595376015,-1.1387095451355,0.439681947231293,0.168014347553253,0.114498659968376,0.0459931343793869,0.913144528865814,0.366802364587784,9.5,18.5060710906982,7.4337306022644,0.907174783400767,0.364404380321503,7.83333333333333,3.14658308029175,0.401691466569901,2.47162914276123,61.3307317332165,8.825,-4.20105028152466,3.21983027458191,69.083381652832,0.0747499316930771,0.0300264097750187,18.6635494232178,19.1502990722656,0.121837787330151,17.136474609375,-10.5893583297729,26,70.4469909667969,-6.36343383789062,0.420223695638359,5.8
2,"UKD3","UKD37",2.40007019042969,16.9810123443604,5.0138840675354,5.99547433853149,36.983268737793,28.9042682647705,0.328571428571429,0.196715369820595,-0.380712777376175,-0.227932348847389,-0.314954519271851,0.606891453266144,0.131954550743103,0.209535866975784,0.125448912382126,0.91787987947464,0.549533724784851,9.5,59.6113090515137,35.6892280578613,1.07217407001548,0.641909539699554,12.96,7.75913858413696,0.598698973655701,4.04814434051514,58.4148853565722,9.15333333333333,-6.2753005027771,5.45373487472534,52.2569046020508,-0.0362412333488464,-0.0216975901275873,18.7013397216797,12.1213140487671,0.136815249919891,16.4166088104248,-29.1721382141113,26,69.4081268310547,-5.89189004898071,0.82580540180467,7.9
2,"UKD4","UKD41",2.45365881919861,18.2786083221436,3.88347029685974,2.80600523948669,45.940357208252,23.6557216644287,0.3,0.201365798711777,-0.318063795566559,-0.213490575551987,-0.113766595721245,0.662690043449402,0.061104241758585,0.146213725209236,0.0981414839625359,1.30937659740448,0.878878891468048,13.8,116.751426696777,78.3658142089844,1.33813858281434,0.898184537887573,15.8620689655172,10.6469278335571,0.671219348907471,4.97188949584961,56.3356347881998,8.03,-6.74427366256714,9.45369911193848,40.0738677978516,2.04199552536011,1.37062692642212,16.3842716217041,11.504243850708,0.103744693100452,9.68412399291992,-41.8811454772949,26.3,69.9702301025391,-8.31553268432617,1.03980662863116,7.5
2,"UKD4","UKD42",3.78345322608948,22.3918037414551,4.68267297744751,2.49273586273193,28.270378112793,33.8828582763672,0.4,0.0464660413563251,0.159368738532066,0.0185130853205919,-5.42801856994629,0.7499138712883,0.0597400926053524,0.137050807476044,0.0159205216914415,1.400026679039,0.162634238600731,13.8,358.420715332031,41.6359786987305,0.91876829083447,0.106728814542294,6.61764705882353,0.768739640712738,0.116165101528168,0.908135592937469,67.4555859369163,7.41,-4.84273052215576,1.62141644954681,49.0247077941895,1.26920366287231,0.147437170147896,25.5805435180664,0.861289799213409,0.119775988161564,7.74788856506348,-3.29016900062561,26.3,70.3425140380859,-12.4286499023438,1.18926859981112,7.3
2,"UKD4","UKD44",1.77501165866852,27.8361759185791,10.49485206604,3.41632103919983,22.4051036834717,30.686954498291,0.9,0.423136711120605,0.84419184923172,0.39689838886261,-0.325376123189926,0.829534232616425,0.160312607884407,0.109797433018684,0.0516214706003666,1.14932453632355,0.540357112884521,13.8,-69.3490219116211,-32.6045761108398,0.762546320632881,0.358512610197067,5.24193548387097,2.46450591087341,0.470151901245117,3.49312424659729,56.9563299514777,9.345,-6.98331737518311,1.94754767417908,55.7127532958984,-0.605560004711151,-0.284705191850662,24.5555095672607,13.9815015792847,0.120436787605286,4.19047975540161,-5.75162506103516,26.3,77.0571746826172,-5.32711505889893,0.881308853974002,2.3
2,"UKD4","UKD45",1.50977730751038,27.8097515106201,6.53998327255249,5.39615058898926,24.0358180999756,31.0899639129639,0.9,0.423136711120605,0.618819177150726,0.290939003229141,5.30413293838501,0.82178795337677,0.0781863033771515,0.1289242208004,0.0606139674782753,1.32223570346832,0.621651649475098,13.8,-135.324981689453,-63.6232986450195,1.0632142039423,0.499872177839279,7.63157894736842,3.5880012512207,0.470151901245117,3.49312424659729,56.2261684279333,9.71,-8.77068996429443,3.69804573059082,35.4250984191895,0.396237343549728,0.186291739344597,20.8782978057861,16.652042388916,0.122670084238052,5.47123003005981,-60.9269866943359,26.3,76.6937103271484,-7.5476861000061,0.867139853880898,4
2,"UKD4","UKD46",3.4669201374054,20.8456344604492,4.6274619102478,6.31850433349609,31.0314807891846,30.0564441680908,0.9,0.423136711120605,0.989256083965302,0.46510061621666,-3.28403115272522,0.562683701515198,0.0944964960217476,0.111064068973064,0.0522169843316078,0.872251749038696,0.410090804100037,13.8,69.0955657958984,32.4854125976562,0.874246104978799,0.411028474569321,10.7692307692308,5.0631742477417,0.470151901245117,3.49312424659729,64.216710886452,8.435,-5.81319141387939,4.4885835647583,25.3588523864746,-0.0929480120539665,-0.0436996854841709,19.7797222137451,14.1413707733154,0.0878291875123978,10.0930414199829,-54.8299789428711,26.3,73.2799377441406,-7.76360940933228,1.42689630263659,5
2,"UKD4","UKD47",1.31786870956421,25.4424514770508,5.84823989868164,2.53302574157715,32.0049324035645,29.4276599884033,0.9,0.423136711120605,0.579267859458923,0.272343873977661,-5.16485929489136,0.529624998569489,0.150363698601723,0.0713509246706963,0.0335457734763622,0.932829558849335,0.438571602106094,13.8,-112.861366271973,-53.0619850158691,0.665030254595273,0.312665224075317,6.78733031674208,3.19107627868652,0.470151901245117,3.49312424659729,56.0674810023237,9.64,-4.85633230209351,1.57833993434906,15.4429616928101,0.53096479177475,0.249634101986885,19.5455379486084,27.7373218536377,0.137820363044739,11.7806959152222,-33.3801345825195,26.3,75.8795928955078,-2.35593581199646,0.898361685123873,4.8
2,"UKD6","UKD61",1.32554137706757,20.8642139434814,5.56340312957764,7.54300737380981,31.4201679229736,29.4831371307373,0.657142857142857,0.12872351706028,-0.515804827213287,-0.101037718355656,21.045108795166,0.656792998313904,0.0512874163687229,0.0638476014137268,0.0125066991895437,1.51454889774323,0.296675324440002,12.3,-121.535957336426,-23.8069038391113,1.20414940287594,0.235873132944107,8.78048780487805,1.71995365619659,0.195883616805077,1.34520769119263,54.2685680539151,9.64,2.38644504547119,1.88559758663177,67.9156265258789,-0.612864136695862,-0.120050042867661,18.2155780792236,21.2232265472412,0.172865107655525,12.1696786880493,-40.6732635498047,NA,75.2236328125,-4.88778114318848,0.393005118206191,4.8
2,"UKD6","UKD62",1.20630252361298,33.362850189209,7.53372144699097,6.41165447235107,18.1398963928223,30.1737632751465,1.04,0.337116837501526,0.889455080032349,0.28831759095192,24.8867797851562,0.837651371955872,0.0773129239678383,0.119380243122578,0.0386972017586231,1.34189081192017,0.43497496843338,12.3,-190.867904663086,-61.8699836730957,1.10895224500046,0.359467744827271,4.5822102425876,1.48532712459564,0.324150800704956,2.11403751373291,51.176031656303,10.6966667175293,-12.1807718276978,2.07750058174133,38.2952499389648,0.363657593727112,0.117879897356033,21.2640533447266,24.2821197509766,0.298715233802795,8.26265430450439,-67.4739532470703,NA,78.1764831542969,-4.71687030792236,0.291226632477277,2.7
2,"UKD6","UKD63",1.15961802005768,28.0923156738281,7.29119348526001,5.92440986633301,24.7940979003906,29.8734283447266,1.04,0.270672708749771,-0.398326456546783,-0.103669330477715,11.6842966079712,0.898838698863983,0.0114917177706957,0.0996984168887138,0.0259477309882641,0.909398674964905,0.236682116985321,12.3,-118.419692993164,-30.8201732635498,0.821542232405385,0.213816404342651,5.45454545454545,1.41961216926575,0.260262221097946,1.83341991901398,50.6786815957672,10.3400001525879,-9.90672969818115,1.88899004459381,29.4804344177246,-1.11014747619629,-0.288929462432861,21.2667770385742,19.528657913208,0.227897942066193,11.995906829834,-38.2221603393555,NA,74.2232131958008,-4.6462869644165,0.386066721242389,3.3
2,"UKD7","UKD71",1.94393718242645,10.2515745162964,5.42865371704102,3.25619459152222,49.2909812927246,25.5865249633789,NA,NA,0.582569062709808,0.210429951548576,31.5075073242188,0.349262624979019,0.0404031351208687,0.0370362028479576,0.013377858325839,0.403133511543274,0.145615980029106,7.6,127.468933105469,46.0430946350098,0.426776620676288,0.154156118631363,3.125,1.12878227233887,0.361210316419601,2.75577592849731,55.8576922909398,8.38333333333333,2.33194017410278,0.924333930015564,47.2559471130371,-0.256107717752457,-0.0925087481737137,19.7954120635986,15.1364803314209,0.138997316360474,19.6155586242676,-60.9799461364746,NA,64.9278717041016,-0.776538193225861,0.688269810223608,7.3
2,"UKD7","UKD72",1.2273895740509,7.05518627166748,10.2869367599487,4.99964189529419,51.8185615539551,20.9034976959229,NA,NA,-0.456855684518814,-0.0971442982554436,16.85666847229,0.624384224414825,0.321976542472839,0.0755450278520584,0.0160636473447084,1.39166688919067,0.295919477939606,7.6,146.56298828125,31.1646728515625,2.22391070180739,0.472885072231293,11.0874200426439,2.35759258270264,0.212636724114418,1.72422397136688,41.8075793155625,8.71,-1.29444539546967,3.19450807571411,129.532012939453,-0.122678525745869,-0.0260859597474337,18.8786811828613,2.07943344116211,0.225365504622459,17.355016708374,-72.4670639038086,NA,52.0661125183105,-9.83714866638184,0.287753538941323,10.6
2,"UKD7","UKD73",1.13002455234528,16.9288578033447,6.78875160217285,9.01294898986816,34.0527458190918,28.3337860107422,NA,NA,-0.207661584019661,-0.0380676575005054,-7.62189102172852,0.528700351715088,0.112737573683262,0.0632602721452713,0.0115966098383069,0.90296083688736,0.165527030825615,7.6,33.4128952026367,6.12511301040649,0.569748765039246,0.104443974792957,5.18518518518519,0.950526595115662,0.183315843343735,1.50782525539398,48.1315679140913,9.05,-4.57130146026611,1.49951589107513,24.2752780914307,-0.660129010677338,-0.121012106537819,25.3997592926025,8.46825790405273,0.167061910033226,10.4829397201538,-60.2751235961914,NA,73.5380477905273,-4.13546800613403,0.626723641543171,3.5
2,"UKD7","UKD74",1.2850466966629,21.5049629211426,8.23176574707031,4.0671067237854,35.0105972290039,26.2320556640625,NA,NA,0.185212090611458,0.0401710867881775,-2.09585571289062,0.585027515888214,0.0816540867090225,0.0589190274477005,0.0127790858969092,0.454060792922974,0.0984823107719421,7.6,80.6655197143555,17.4957332611084,0.378147797057248,0.0820173621177673,4.08805031446541,0.886666834354401,0.216892346739769,1.60941994190216,48.2959302325581,9.76,-7.11302089691162,1.68655717372894,38.9215888977051,1.20686912536621,0.261760681867599,22.8148460388184,13.3611183166504,0.195477724075317,10.9415426254272,-52.7628135681152,NA,72.2704315185547,-6.65053415298462,0.630074599183943,7
3,"UKE1","UKE11",1.54539597034454,8.242112159729,6.58201885223389,11.8379745483398,31.8073902130127,35.765453338623,0.85,0.224817931652069,-0.0700697302818298,-0.0185328610241413,8.1370792388916,0.8235182762146,0.150663614273071,0.0529580563306808,0.0140069648623466,3.31993651390076,0.87809556722641,14.7,71.8357925415039,18.9999694824219,1.94696894329972,0.514957070350647,10.1960784313725,2.69677782058716,0.264491677284241,2.13589668273926,67.6158969608751,7.63,-2.77644062042236,1.92209017276764,131.033737182617,-0.372409403324127,-0.0984991863369942,18.8923034667969,2.34099555015564,0.0853786766529083,27.8747329711914,-24.0485363006592,20.9,51.6703720092773,-4.1145133972168,0.387404099929191,9.9
