"trump_vote","host_imm","unemp","male","college","white","home_owner","age","weight"
1,10,0,0,0,1,1,47,0.944966809355533
1,10,0,0,0,1,0,22,0.767256403343444
NA,2.5,0,0,0,0,0,52,0.0906037980538394
NA,0,0,0,0,0,0,28,0.142582774342995
0,0,0,0,1,1,1,34,1.20649756885301
NA,7.5,0,0,0,0,0,53,0.887727834293607
1,10,0,1,0,1,0,54,1.11202973551783
NA,2.5,1,0,0,1,0,25,2.28754833368638
1,10,0,1,0,1,1,53,2.41497770826942
1,7.5,0,0,0,1,1,59,0.797420956501934
0,0,0,0,1,0,1,70,1.21141221284344
0,5,0,0,0,1,0,31,0.73043914466762
NA,5,0,0,0,0,0,40,2.7254568222433
NA,0,0,0,1,0,0,22,1.69857626191237
0,5,0,0,0,0,1,34,0.236651831187094
0,0,1,1,0,0,0,28,0.580915636343433
NA,0,1,1,0,1,0,37,0.270907454478382
NA,10,0,1,0,1,1,55,2.08305420916455
0,5,1,0,1,0,0,58,0.32375118449084
1,10,0,0,0,1,0,71,0.757517419048962
NA,5,0,1,0,0,0,26,0.349631314348449
NA,2.5,1,0,0,0,0,45,4.74940616291913
0,2.5,0,1,1,1,0,76,0.882565193943975
0,7.5,0,0,0,1,1,60,0.334537061019522
NA,0,0,1,0,1,0,22,1.27517813961554
1,5,0,0,1,1,0,35,0.642412041832418
NA,5,0,0,1,1,1,47,1.2792069182156
NA,7.5,0,1,0,1,0,53,2.41798620119247
0,0,0,1,0,1,1,56,0.1370714937334
1,10,0,0,1,1,0,38,0.469312428673219
0,2.5,0,0,0,1,1,57,0.620083981928972
1,10,0,0,1,1,1,49,0.628215709296542
1,7.5,0,0,1,1,1,62,2.18108289618973
1,5,0,0,1,1,1,71,0.702365400176382
NA,10,0,0,1,1,1,45,1.46496931571828
1,2.5,0,0,1,1,0,28,0.452181261341729
NA,5,0,0,1,1,0,32,0.240163402035527
0,5,0,0,1,1,1,45,1.26353876208681
NA,2.5,0,0,0,0,0,22,0.148853628993385
0,2.5,0,1,1,1,1,64,0.219931167167886
0,5,0,1,1,0,1,57,0.0516755076136016
0,2.5,0,0,1,1,1,53,0.57556664911458
0,0,0,0,1,1,1,59,0.306967436165596
1,10,0,1,1,1,0,57,0.1661189952818
0,7.5,0,1,1,1,1,52,0.663762666107436
NA,7.5,0,0,1,0,0,25,3.19102331106232
NA,7.5,0,0,0,1,1,51,0.672640762216987
NA,10,1,1,0,1,0,51,5.77965972653353
0,0,0,1,1,0,1,53,0.192005944871451
NA,2.5,0,1,0,0,1,24,0.442335933545094
0,0,0,1,1,1,1,74,0.486061163314912
NA,10,0,1,0,1,0,67,8.14673598764253
1,10,0,1,0,1,1,77,0.532216229647196
0,5,0,0,1,1,1,82,1.29498880468551
0,2.5,0,0,1,1,0,59,1.6047742650392
0,0,0,0,0,1,1,58,0.78668958446251
1,7.5,0,1,0,1,0,62,1.222700859941
NA,10,0,1,0,1,0,55,1.33890405694947
1,10,0,0,0,1,1,72,1.93825217157857
0,0,0,1,0,1,0,41,0.294488059298253
NA,2.5,0,1,1,0,1,59,0.509461771768382
NA,10,0,1,1,0,1,39,0.100318303690162
0,5,0,0,1,1,1,50,0.102115471023346
0,5,0,0,1,1,0,28,2.22372815919643
0,7.5,0,1,0,1,1,68,0.973792284736991
0,0,0,1,1,1,1,70,0.722066470830184
0,2.5,0,0,1,1,1,74,1.28178587142607
0,5,0,0,1,1,1,55,1.39025299335076
0,0,0,0,0,1,1,47,0.771222014509607
1,7.5,0,0,1,1,1,71,0.531918202011363
1,10,0,1,0,1,1,57,0.76924374141902
0,7.5,0,1,0,1,1,55,0.113450237948963
1,10,0,0,1,1,1,46,0.804359446277021
0,2.5,0,1,1,1,1,62,0.598681887216436
0,7.5,0,0,0,0,0,24,1.05306953194686
0,7.5,0,1,1,0,1,55,0.0847720531788624
NA,10,0,0,0,1,0,33,1.58558730985536
0,2.5,1,0,1,0,1,49,0.394036697032266
0,5,0,1,0,1,1,64,0.22765446091182
0,0,0,1,1,1,1,58,0.33224506715956
1,10,0,1,1,1,1,62,1.48731973065306
0,0,0,1,1,0,0,45,0.446388507938621
0,0,0,0,1,1,1,59,0.583783981714549
NA,5,1,0,0,1,0,47,0.23133530846751
0,7.5,0,0,0,0,0,56,0.788240629345677
0,0,0,0,0,1,1,63,0.159216688365208
0,0,0,0,1,1,0,38,1.00537273370242
0,2.5,0,1,1,1,1,36,0.564196469497869
0,2.5,0,0,1,1,0,72,1.65866617904408
0,0,0,1,1,1,0,26,2.26397541026721
0,0,0,1,1,1,1,63,0.482131111788805
1,10,0,1,0,1,1,57,1.19403066310835
0,7.5,0,1,1,1,1,42,2.23098673350715
0,0,0,1,1,0,0,24,2.16058485286697
1,10,0,0,1,1,0,49,1.09138560939732
0,2.5,0,0,1,1,1,60,0.799586594231611
NA,5,0,0,1,0,1,61,1.21539856820007
0,10,0,0,1,0,1,41,0.822980846285982
0,2.5,0,1,1,0,1,53,0.633430269988645
0,2.5,0,0,1,1,1,33,0.795897541885576
0,0,0,0,1,1,0,45,1.02685121673984
0,5,0,1,1,1,1,61,0.0512297921721203
1,10,0,1,1,0,1,71,0.460698088841005
0,0,0,1,1,1,1,63,0.634601891697796
0,5,0,1,1,1,0,51,0.501578789017721
0,0,0,0,1,1,1,53,0.56508574391651
NA,7.5,0,0,1,1,1,36,0.338792288257726
0,2.5,0,0,0,0,1,45,1.42317831289999
1,10,0,1,1,0,1,46,0.677762221018522
0,7.5,0,1,0,1,1,61,1.46629328132659
0,7.5,0,0,1,0,0,39,0.197510196261006
0,7.5,0,1,1,1,1,41,0.88465623504786
0,5,0,0,0,1,1,37,0.633317878175224
0,0,0,0,1,1,1,59,0.602186423925845
0,2.5,0,1,1,0,1,57,0.500553214397419
1,10,0,1,1,1,0,61,0.984235797621423
0,10,1,1,1,1,0,58,0.413209264989297
0,0,0,0,1,1,1,30,0.506415986223853
0,5,0,0,1,1,1,79,0.438667388737682
0,7.5,0,0,1,1,1,50,0.747234465175181
0,5,0,1,1,1,1,49,0.73318527685706
1,10,0,1,1,1,1,80,0.980498867361204
0,2.5,0,0,1,1,1,68,0.811874030450281
1,10,0,1,0,1,0,65,2.0585105490947
1,10,0,1,0,0,1,79,0.13587902575259
0,2.5,0,0,1,1,1,69,0.509266267794867
1,10,0,0,1,1,1,46,0.82415559989073
1,10,0,1,0,1,1,79,0.421064590360612
0,2.5,0,0,1,1,0,76,1.20752460404169
0,5,0,0,1,1,1,55,1.03558858894082
0,2.5,0,1,1,1,1,63,0.573632744704236
0,2.5,0,0,1,1,1,52,0.429095124910499
1,10,0,1,0,1,1,77,2.30386663007767
1,10,0,1,1,1,0,65,0.215917363042726
1,5,0,0,1,1,0,49,0.619971305590275
1,5,0,1,1,1,1,45,0.860051642413522
1,10,0,1,1,1,1,74,0.962848419956276
0,7.5,0,1,1,1,1,53,0.312219018318206
0,0,0,0,1,1,1,52,0.177844412517111
NA,10,0,1,1,1,0,76,0.471615571392316
1,7.5,0,0,1,1,1,61,0.776348518073471
0,0,0,0,1,1,1,51,0.405269023431919
1,7.5,0,1,1,1,1,58,0.511495310589449
NA,5,1,0,1,1,1,46,1.10221392516738
1,10,0,0,0,1,0,34,0.258331330511005
0,0,0,1,0,0,0,34,1.56593676573419
0,0,0,0,1,1,1,72,0.65855186015767
0,10,0,1,1,0,0,54,0.559720152594507
1,7.5,0,0,1,1,1,29,0.726726118778081
1,7.5,0,1,1,0,1,57,1.02280594868302
0,0,0,1,1,1,1,60,0.987409336850786
NA,0,0,1,1,1,1,72,1.29504631905782
1,10,0,0,0,1,0,19,0.627070647848745
0,5,0,0,0,1,0,19,0.863397057486378
0,0,0,0,1,1,1,38,0.635259485153383
0,0,0,0,0,1,1,69,0.90363909825921
0,0,0,0,1,1,1,59,0.810791474584954
1,7.5,0,1,1,1,1,66,0.358293409685649
1,7.5,0,1,0,1,1,71,0.962541003712099
1,7.5,0,1,0,0,1,56,0.459665480967061
NA,7.5,0,1,1,1,1,24,0.534441720667107
1,10,0,1,1,1,1,69,1.13064668521949
1,10,0,0,0,1,1,66,0.592875146430033
NA,5,1,0,1,0,0,30,0.0227192677701167
0,0,0,0,0,1,1,75,0.553071304944287
0,0,0,0,0,0,1,67,0.319493255532064
0,0,0,1,1,1,1,40,0.888075359656198
NA,2.5,0,0,0,0,0,46,0.0537610877264922
0,0,0,1,1,1,0,29,0.091839993810757
0,0,0,1,0,1,1,63,1.35668531541036
0,0,0,1,1,1,1,40,0.923997446150184
1,10,0,0,1,1,1,55,0.490540684452654
0,2.5,0,0,0,0,1,62,1.35538552112248
0,2.5,0,0,0,1,0,72,0.682422806297546
1,5,0,0,1,1,1,59,0.480356066231915
0,0,0,0,0,1,1,31,0.91591770705112
1,10,0,0,1,1,1,78,0.128152767670038
0,7.5,0,0,1,1,0,30,0.367752066909147
0,5,0,1,0,0,0,75,0.639038382575373
0,7.5,0,1,0,0,1,31,1.92041948713041
0,2.5,0,0,1,0,0,47,0.239333852398925
0,7.5,0,0,0,1,0,56,0.366188384143264
1,7.5,0,0,0,1,1,63,0.639575865047184
NA,0,0,0,0,1,0,26,0.0742055831448269
1,10,0,0,0,1,1,85,0.863913000534894
0,0,0,1,0,1,1,76,0.548666678185278
0,5,0,1,1,1,1,49,0.653284327440201
0,2.5,0,1,1,1,0,35,0.326895956173192
1,10,0,1,0,1,1,54,0.425140456940662
0,7.5,0,1,0,1,1,77,0.705160685421759
1,5,0,0,1,1,1,58,1.51764976300987
1,5,0,1,1,1,1,60,0.944917306496889
0,0,0,1,1,1,0,27,0.0618114654301598
0,0,0,0,1,1,1,51,1.6047742650392
0,5,0,1,1,0,0,42,0.510284397800485
1,5,0,0,1,1,1,48,1.12529898202348
0,0,0,0,1,1,1,62,0.0858210478525888
0,0,0,1,1,1,0,29,0.00021574407527852
0,2.5,0,0,1,0,1,66,0.282081750063544
NA,10,0,1,0,0,0,41,9.10849262066626
1,10,0,0,1,1,1,75,0.843403515749112
