"","state","county","math_score","college_share","income","poor_share","pop","region","pop_cat"
"1","Alabama","Autauga County",2.7598643,0.22199036,54052.80446,0.10591765,51032,"South","More Populated"
"2","Alabama","Baldwin County",2.7925096,0.26071036,52003.09347,0.1229422,183597,"South","Most Populated"
"3","Alabama","Barbour County",1.6000091,0.13349621,33114.85483,0.25063077,29612,"South","Mid-range Population"
"4","Alabama","Bibb County",1.5316743,0.099240527,39846.44652,0.12684989,21392,"South","Mid-range Population"
"5","Alabama","Blount County",2.8154035,0.1263345,46361.1224,0.13313791,58271,"South","More Populated"
"6","Alabama","Bullock County",1.039439,0.10972187,31304.7834,0.28044859,10819,"South","Less Populated"
"7","Alabama","Butler County",1.5268495,0.10806212,34026.98725,0.2555584,20036,"South","Mid-range Population"
"8","Alabama","Calhoun County",3.2839758,0.1634185,42474.47306,0.20056167,113428,"South","Most Populated"
"9","Alabama","Chambers County",2.1440363,0.10888611,35054.86006,0.20377946,34029,"South","Mid-range Population"
"10","Alabama","Cherokee County",1.712031,0.10722729,38793.72,0.17228937,24409,"South","Mid-range Population"
"11","Alabama","Chilton County",3.1304917,0.12215477,42600.33087,0.18464307,43153,"South","More Populated"
"12","Alabama","Choctaw County",1.9019498,0.10668433,33545.75965,0.18936156,13832,"South","Less Populated"
"13","Alabama","Clarke County",1.4487185,0.13354266,32990.17214,0.2898961,25776,"South","Mid-range Population"
"14","Alabama","Clay County",1.6756015,0.096151501,38532.55383,0.18940292,13475,"South","Less Populated"
"15","Alabama","Cleburne County",3.0739887,0.085138939,35424.61161,0.17499053,14870,"South","Less Populated"
"16","Alabama","Coffee County",3.3043158,0.22555889,48731.14227,0.17204374,48889,"South","More Populated"
"17","Alabama","Colbert County",2.5650976,0.16347194,44635.24588,0.15770689,54635,"South","More Populated"
"18","Alabama","Conecuh County",3.0408378,0.095982991,27179.65452,0.30871755,12767,"South","Less Populated"
"19","Alabama","Coosa County",1.5093206,0.11157417,32466.45316,0.15943986,10601,"South","Less Populated"
"20","Alabama","Covington County",3.3432653,0.13228455,38438.14214,0.18594746,36704,"South","More Populated"
"21","Alabama","Crenshaw County",3.1199837,0.09997008,37405.65741,0.17299487,13552,"South","Less Populated"
"22","Alabama","Cullman County",3.8820558,0.13853914,40006.76532,0.16704641,81956,"South","More Populated"
"23","Alabama","Dale County",2.1926258,0.17768152,44360.61071,0.14918132,48064,"South","More Populated"
"24","Alabama","Dallas County",2.4282541,0.14476024,29831.22974,0.30944481,41871,"South","More Populated"
"25","Alabama","DeKalb County",1.8044913,0.10936511,38165.26684,0.19802214,69610,"South","More Populated"
"26","Alabama","Elmore County",2.4378459,0.20373544,53344.91632,0.1244408,79943,"South","More Populated"
"27","Alabama","Escambia County",2.5624282,0.11105679,34020.0273,0.23885591,37624,"South","More Populated"
"28","Alabama","Etowah County",2.2325947,0.15570724,42642.39676,0.16932258,103550,"South","Most Populated"
"29","Alabama","Fayette County",2.8168795,0.095884889,37609.14425,0.18006542,17327,"South","Less Populated"
"30","Alabama","Franklin County",3.0787928,0.11616155,35948.96247,0.19352701,31327,"South","Mid-range Population"
"31","Alabama","Geneva County",2.8225119,0.080226541,37156.26275,0.1628221,25960,"South","Mid-range Population"
"32","Alabama","Greene County",5.4682393,0.10032849,22044.67264,0.30788875,8574,"South","Least Populated"
"33","Alabama","Hale County",3.3120985,0.098670676,34352.00539,0.2393391,17796,"South","Less Populated"
"34","Alabama","Henry County",2.3784873,0.15416268,41867.6909,0.14818823,16679,"South","Less Populated"
"35","Alabama","Houston County",2.8737555,0.18677431,43804.36164,0.16957289,101594,"South","Most Populated"
"36","Alabama","Jackson County",2.9614308,0.11945152,38397.1416,0.17339577,52403,"South","More Populated"
"37","Alabama","Jefferson County",2.3716967,0.28971264,53685.59755,0.15364602,665494,"South","Most Populated"
"38","Alabama","Lamar County",2.8613338,0.091274597,34275.98551,0.18666232,13986,"South","Less Populated"
