"state","county","math_score","college_share","income","poor_share","pop"
"Alabama","Autauga County",2.7598643,0.22199036,54052.8044565795,0.10591765,51032
"Alabama","Baldwin County",2.7925096,0.26071036,52003.0934737882,0.1229422,183597
"Alabama","Barbour County",1.6000091,0.13349621,33114.8548275485,0.25063077,29612
"Alabama","Bibb County",1.5316743,0.099240527,39846.4465197469,0.12684989,21392
"Alabama","Blount County",2.8154035,0.1263345,46361.1223962876,0.13313791,58271
"Alabama","Bullock County",1.039439,0.10972187,31304.7833974711,0.28044859,10819
"Alabama","Butler County",1.5268495,0.10806212,34026.9872535447,0.2555584,20036
"Alabama","Calhoun County",3.2839758,0.1634185,42474.4730644984,0.20056167,113428
"Alabama","Chambers County",2.1440363,0.10888611,35054.8600613766,0.20377946,34029
"Alabama","Cherokee County",1.712031,0.10722729,38793.7199969218,0.17228937,24409
"Alabama","Chilton County",3.1304917,0.12215477,42600.3308663474,0.18464307,43153
"Alabama","Choctaw County",1.9019498,0.10668433,33545.7596507685,0.18936156,13832
"Alabama","Clarke County",1.4487185,0.13354266,32990.1721441567,0.2898961,25776
"Alabama","Clay County",1.6756015,0.096151501,38532.5538329027,0.18940292,13475
"Alabama","Cleburne County",3.0739887,0.085138939,35424.6116083356,0.17499053,14870
"Alabama","Coffee County",3.3043158,0.22555889,48731.1422679587,0.17204374,48889
"Alabama","Colbert County",2.5650976,0.16347194,44635.2458844712,0.15770689,54635
"Alabama","Conecuh County",3.0408378,0.095982991,27179.6545207136,0.30871755,12767
"Alabama","Coosa County",1.5093206,0.11157417,32466.4531588526,0.15943986,10601
"Alabama","Covington County",3.3432653,0.13228455,38438.1421421952,0.18594746,36704
"Alabama","Crenshaw County",3.1199837,0.09997008,37405.6574140659,0.17299487,13552
"Alabama","Cullman County",3.8820558,0.13853914,40006.7653160212,0.16704641,81956
"Alabama","Dale County",2.1926258,0.17768152,44360.6107142146,0.14918132,48064
"Alabama","Dallas County",2.4282541,0.14476024,29831.2297352807,0.30944481,41871
"Alabama","DeKalb County",1.8044913,0.10936511,38165.2668438594,0.19802214,69610
"Alabama","Elmore County",2.4378459,0.20373544,53344.9163209462,0.1244408,79943
"Alabama","Escambia County",2.5624282,0.11105679,34020.0272971633,0.23885591,37624
"Alabama","Etowah County",2.2325947,0.15570724,42642.3967633822,0.16932258,103550
"Alabama","Fayette County",2.8168795,0.095884889,37609.1442491735,0.18006542,17327
"Alabama","Franklin County",3.0787928,0.11616155,35948.9624653041,0.19352701,31327
"Alabama","Geneva County",2.8225119,0.080226541,37156.2627472938,0.1628221,25960
"Alabama","Greene County",5.4682393,0.10032849,22044.6726368159,0.30788875,8574
"Alabama","Hale County",3.3120985,0.098670676,34352.005393401,0.2393391,17796
"Alabama","Henry County",2.3784873,0.15416268,41867.6909027858,0.14818823,16679
"Alabama","Houston County",2.8737555,0.18677431,43804.3616354988,0.16957289,101594
"Alabama","Jackson County",2.9614308,0.11945152,38397.1416010671,0.17339577,52403
"Alabama","Jefferson County",2.3716967,0.28971264,53685.5975509745,0.15364602,665494
"Alabama","Lamar County",2.8613338,0.091274597,34275.9855122219,0.18666232,13986
"Alabama","Lauderdale County",3.2964609,0.21347624,45105.4110712013,0.1813309,89107
"Alabama","Lawrence County",3.0386004,0.10559116,42143.0011066135,0.13738443,34205
"Alabama","Lee County",2.8300865,0.33768472,47042.2337443181,0.20106012,139307
"Alabama","Limestone County",2.4035375,0.21240342,53043.9741610495,0.1312196,80102
"Alabama","Lowndes County",0.83335233,0.1262159,29663.6905035844,0.27049699,12159
"Alabama","Macon County",2.2081928,0.21686576,31926.1002237554,0.29852092,21671
"Alabama","Madison County",2.6738648,0.36884248,65813.9581943246,0.12136907,331545
"Alabama","Marengo County",3.2559211,0.17990237,31508.0486041756,0.23394524,20704
"Alabama","Marion County",4.3869233,0.087795861,34855.240154666,0.17642032,28945
"Alabama","Marshall County",3.2309623,0.1437083,39996.9810683839,0.19746757,91168
"Alabama","Mobile County",2.9671228,0.1940833,45875.676424851,0.19186655,411536
"Alabama","Monroe County",1.4252567,0.11204164,29748.3180162996,0.253995,22114
"Alabama","Montgomery County",1.8751533,0.30478498,48109.9876745595,0.18946397,226075
"Alabama","Morgan County",2.8007281,0.1871223,47338.9167461712,0.15244614,117944
"Alabama","Perry County",3.0117438,0.13166387,23203.9101123596,0.28285909,10653
"Alabama","Pickens County",1.0639271,0.11494197,32346.8053276613,0.25956264,19017
"Alabama","Pike County",2.4254091,0.25556156,33440.3153591294,0.28767753,30704
"Alabama","Randolph County",2.209461,0.12487124,37534.2751713001,0.21426156,22521
"Alabama","Russell County",2.0845604,0.11957746,39548.0394545489,0.22539032,52074
"Alabama","St. Clair County",2.7617831,0.14495531,55328.7848623689,0.10688303,82649
"Alabama","Shelby County",2.6697447,0.39679483,74813.4571541364,0.073837899,195374
"Alabama","Sumter County",1.4651419,0.13427892,20170.8913754269,0.34869125,12751
"Alabama","Talladega County",2.5955334,0.12097263,38162.2789369433,0.18499839,80145
"Alabama","Tallapoosa County",1.5429493,0.15572086,39655.5461841599,0.17421976,40569
"Alabama","Tuscaloosa County",2.3745196,0.26493892,49409.2752804948,0.21566455,186912
"Alabama","Walker County",3.0647604,0.094960697,37432.2087343151,0.18403971,68265
"Alabama","Washington County",1.726289,0.091865979,39395.1258745236,0.1954826,17070
"Alabama","Wilcox County",1.3172414,0.13182236,25294.5192802057,0.37359256,12100
"Alabama","Winston County",2.5491889,0.11445996,33836.7817350106,0.20380414,23633
"Alaska","Aleutians East Borough",NA,0.096453428,65926,0.10419486,2791
"Alaska","Aleutians West Census Area",3.5979075,0.090228207,85068.8910267937,0.12547597,4699
"Alaska","Anchorage Municipality",3.1329191,0.3187848,85058.1097331972,0.080088682,290492
"Alaska","Bethel Census Area",-0.66132653,0.13704893,52644.7036383942,0.18403779,17620
"Alaska","Bristol Bay Borough",NA,0.15880503,88000,0.050000001,904
"Alaska","Denali Borough",3.4848018,0.27520758,81302,0.046462514,1850
"Alaska","Dillingham Census Area",0.99625593,0.19728933,55189.9220136167,0.17870413,5032
"Alaska","Fairbanks North Star Borough",3.2001278,0.27057645,74237.9587522161,0.076863445,98357
"Alaska","Haines Borough",3.1474195,0.33055091,53125,0.072259642,2425
"Alaska","Hoonah-Angoon Census Area",NA,0.28003019,53805.1023255814,0.16257845,2067
"Alaska","Juneau City and Borough",2.9375267,0.33893424,85737.3729816147,0.066278726,31305
