"","countyfips","countyname"
"1",1001,"Autauga County, Alabama"
"2",1003,"Baldwin County, Alabama"
"3",1005,"Barbour County, Alabama"
"4",1007,"Bibb County, Alabama"
"5",1009,"Blount County, Alabama"
"6",1011,"Bullock County, Alabama"
"7",1013,"Butler County, Alabama"
"8",1015,"Calhoun County, Alabama"
"9",1017,"Chambers County, Alabama"
"10",1019,"Cherokee County, Alabama"
"11",1021,"Chilton County, Alabama"
"12",1023,"Choctaw County, Alabama"
"13",1025,"Clarke County, Alabama"
"14",1027,"Clay County, Alabama"
"15",1029,"Cleburne County, Alabama"
"16",1031,"Coffee County, Alabama"
"17",1033,"Colbert County, Alabama"
"18",1035,"Conecuh County, Alabama"
"19",1037,"Coosa County, Alabama"
"20",1039,"Covington County, Alabama"
"21",1041,"Crenshaw County, Alabama"
"22",1043,"Cullman County, Alabama"
"23",1045,"Dale County, Alabama"
"24",1047,"Dallas County, Alabama"
"25",1049,"DeKalb County, Alabama"
"26",1051,"Elmore County, Alabama"
"27",1053,"Escambia County, Alabama"
"28",1055,"Etowah County, Alabama"
"29",1057,"Fayette County, Alabama"
"30",1059,"Franklin County, Alabama"
"31",1061,"Geneva County, Alabama"
"32",1063,"Greene County, Alabama"
"33",1065,"Hale County, Alabama"
"34",1067,"Henry County, Alabama"
"35",1069,"Houston County, Alabama"
"36",1071,"Jackson County, Alabama"
"37",1073,"Jefferson County, Alabama"
"38",1075,"Lamar County, Alabama"
"39",1077,"Lauderdale County, Alabama"
"40",1079,"Lawrence County, Alabama"
"41",1081,"Lee County, Alabama"
"42",1083,"Limestone County, Alabama"
"43",1085,"Lowndes County, Alabama"
"44",1087,"Macon County, Alabama"
"45",1089,"Madison County, Alabama"
"46",1091,"Marengo County, Alabama"
"47",1093,"Marion County, Alabama"
"48",1095,"Marshall County, Alabama"
"49",1097,"Mobile County, Alabama"
"50",1099,"Monroe County, Alabama"
"51",1101,"Montgomery County, Alabama"
"52",1103,"Morgan County, Alabama"
"53",1105,"Perry County, Alabama"
"54",1107,"Pickens County, Alabama"
"55",1109,"Pike County, Alabama"
"56",1111,"Randolph County, Alabama"
"57",1113,"Russell County, Alabama"
"58",1115,"St. Clair County, Alabama"
"59",1117,"Shelby County, Alabama"
"60",1119,"Sumter County, Alabama"
"61",1121,"Talladega County, Alabama"
"62",1123,"Tallapoosa County, Alabama"
"63",1125,"Tuscaloosa County, Alabama"
"64",1127,"Walker County, Alabama"
"65",1129,"Washington County, Alabama"
"66",1131,"Wilcox County, Alabama"
"67",1133,"Winston County, Alabama"
"68",2013,"Aleutians East Borough, Alaska"
"69",2016,"Aleutians West Census Area, Alaska"
"70",2020,"Anchorage Municipality, Alaska"
"71",2050,"Bethel Census Area, Alaska"
"72",2060,"Bristol Bay Borough, Alaska"
"73",2068,"Denali Borough, Alaska"
"74",2070,"Dillingham Census Area, Alaska"
"75",2090,"Fairbanks North Star Borough, Alaska"
"76",2100,"Haines Borough, Alaska"
"77",2105,"Hoonah-Angoon Census Area, Alaska"
"78",2110,"Juneau City and Borough, Alaska"
"79",2122,"Kenai Peninsula Borough, Alaska"
"80",2130,"Ketchikan Gateway Borough, Alaska"
"81",2150,"Kodiak Island Borough, Alaska"
"82",2164,"Lake and Peninsula Borough, Alaska"
"83",2170,"Matanuska-Susitna Borough, Alaska"
"84",2180,"Nome Census Area, Alaska"
"85",2185,"North Slope Borough, Alaska"
"86",2188,"Northwest Arctic Borough, Alaska"
"87",2195,"Petersburg Census Area, Alaska"
"88",2198,"Prince of Wales-Hyder Census Area, Alaska"
"89",2220,"Sitka City and Borough, Alaska"
"90",2230,"Skagway Municipality, Alaska"
"91",2240,"Southeast Fairbanks Census Area, Alaska"
"92",2261,"Valdez-Cordova Census Area, Alaska"
"93",2270,"Wade Hampton Census Area, Alaska"
"94",2275,"Wrangell City and Borough, Alaska"
"95",2282,"Yakutat City and Borough, Alaska"
"96",2290,"Yukon-Koyukuk Census Area, Alaska"
"97",4001,"Apache County, Arizona"
"98",4003,"Cochise County, Arizona"
"99",4005,"Coconino County, Arizona"
"100",4007,"Gila County, Arizona"
"101",4009,"Graham County, Arizona"
"102",4011,"Greenlee County, Arizona"
"103",4012,"La Paz County, Arizona"
"104",4013,"Maricopa County, Arizona"
"105",4015,"Mohave County, Arizona"
"106",4017,"Navajo County, Arizona"
"107",4019,"Pima County, Arizona"
"108",4021,"Pinal County, Arizona"
"109",4023,"Santa Cruz County, Arizona"
"110",4025,"Yavapai County, Arizona"
"111",4027,"Yuma County, Arizona"
"112",5001,"Arkansas County, Arkansas"
"113",5003,"Ashley County, Arkansas"
"114",5005,"Baxter County, Arkansas"
"115",5007,"Benton County, Arkansas"
"116",5009,"Boone County, Arkansas"
"117",5011,"Bradley County, Arkansas"
"118",5013,"Calhoun County, Arkansas"
